date_time,West,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
6/12/21 23:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 0:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 1:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 2:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 3:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 4:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 5:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 6:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 7:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 8:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 9:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 10:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 11:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 12:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 13:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 14:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 15:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 16:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 17:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 18:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 19:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 20:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 21:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 22:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 23:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 0:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 1:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 2:00,10000,81,6,0.4,61,6,30,83,83,65,81,9,83,6
6/14/21 3:00,10000,81,6,0.4,61,6,30,83,83,65,81,9,83,6
6/14/21 4:00,10000,81,6,0.4,61,6,30,83,83,65,81,9,83,6
6/14/21 5:00,10000,89,8,0.2,44,6,30,88,92,64,89,9,92,7
6/14/21 6:00,10000,89,8,0.2,44,6,30,88,92,64,89,9,92,7
6/14/21 7:00,10000,89,8,0.2,44,6,30,88,92,64,89,9,92,7
6/14/21 8:00,10000,95,8,0.1,36,5,30,60,98,63,95,9,98,7
6/14/21 9:00,10000,95,8,0.1,36,5,30,60,98,63,95,9,98,7
6/14/21 10:00,10000,95,8,0.1,36,5,30,60,98,63,95,9,98,7
6/14/21 11:00,10000,94,11,0,35,5,30,34,97,62,94,14,97,7
6/14/21 12:00,10000,94,11,0,35,5,30,34,97,62,94,14,97,7
6/14/21 13:00,10000,94,11,0,35,5,30,34,97,62,94,14,97,7
6/14/21 14:00,10000,90,12,0,49,6,30,15,94,64,90,20,94,1
6/14/21 15:00,10000,90,12,0,49,6,30,15,94,64,90,20,94,1
6/14/21 16:00,10000,90,12,0,49,6,30,15,94,64,90,20,94,1
6/14/21 17:00,10000,82,9,0,62,6,30,9,85,65,82,17,85,1
6/14/21 18:00,10000,82,9,0,62,6,30,9,85,65,82,17,85,1
6/14/21 19:00,10000,82,9,0,62,6,30,9,85,65,82,17,85,1
6/14/21 20:00,10000,76,7,0,72,6,30,9,79,67,76,13,79,1
6/14/21 21:00,10000,76,7,0,72,6,30,9,79,67,76,13,79,1
6/14/21 22:00,10000,76,7,0,72,6,30,9,79,67,76,13,79,1
6/14/21 23:00,10000,75,6,0,79,6,30,5,78,68,75,11,78,1
6/15/21 0:00,10000,75,6,0,79,6,30,5,78,68,75,11,78,1
6/15/21 1:00,10000,75,6,0,79,6,30,5,78,68,75,11,78,1
6/15/21 2:00,10000,81,4,0,65,6,30,4,85,67,81,5,85,7
6/15/21 3:00,10000,81,4,0,65,6,30,4,85,67,81,5,85,7
6/15/21 4:00,10000,81,4,0,65,6,30,4,85,67,81,5,85,7
6/15/21 5:00,10000,89,5,0,45,6,30,11,91,64,89,5,91,8
6/15/21 6:00,10000,89,5,0,45,6,30,11,91,64,89,5,91,8
6/15/21 7:00,10000,89,5,0,45,6,30,11,91,64,89,5,91,8
6/15/21 8:00,10000,93,8,0,34,6,30,9,95,60,93,10,95,8
6/15/21 9:00,10000,93,8,0,34,6,30,9,95,60,93,10,95,8
6/15/21 10:00,10000,93,8,0,34,6,30,9,95,60,93,10,95,8
6/15/21 11:00,10000,93,10,0,33,6,30,6,94,59,93,13,94,8
6/15/21 12:00,10000,93,10,0,33,6,30,6,94,59,93,13,94,8
6/15/21 13:00,10000,93,10,0,33,6,30,6,94,59,93,13,94,8
6/15/21 14:00,10000,87,10,0,46,6,30,7,92,61,87,18,92,1
6/15/21 15:00,10000,87,10,0,46,6,30,7,92,61,87,18,92,1
6/15/21 16:00,10000,87,10,0,46,6,30,7,92,61,87,18,92,1
6/15/21 17:00,10000,80,10,0,59,6,30,5,84,63,80,20,84,1
6/15/21 18:00,10000,80,10,0,59,6,30,5,84,63,80,20,84,1
6/15/21 19:00,10000,80,10,0,59,6,30,5,84,63,80,20,84,1
6/15/21 20:00,10000,75,9,0,68,6,30,3,78,64,75,18,78,1
6/15/21 21:00,10000,75,9,0,68,6,30,3,78,64,75,18,78,1
6/15/21 22:00,10000,75,9,0,68,6,30,3,78,64,75,18,78,1
6/15/21 23:00,10000,74,7,0,74,6,30,2,77,65,74,15,77,1
6/16/21 0:00,10000,74,7,0,74,6,30,2,77,65,74,15,77,1
6/16/21 1:00,10000,74,7,0,74,6,30,2,77,65,74,15,77,1
6/16/21 2:00,10000,81,7,0,59,6,31,1,83,65,81,10,83,7
6/16/21 3:00,10000,81,7,0,59,6,31,1,83,65,81,10,83,7
6/16/21 4:00,10000,81,7,0,59,6,31,1,83,65,81,10,83,7
6/16/21 5:00,10000,89,5,0,38,6,30,4,90,60,89,6,90,8
6/16/21 6:00,10000,89,5,0,38,6,30,4,90,60,89,6,90,8
6/16/21 7:00,10000,89,5,0,38,6,30,4,90,60,89,6,90,8
6/16/21 8:00,10000,94,6,0,28,6,30,4,94,56,94,6,94,8
6/16/21 9:00,10000,94,6,0,28,6,30,4,94,56,94,6,94,8
6/16/21 10:00,10000,94,6,0,28,6,30,4,94,56,94,6,94,8
6/16/21 11:00,10000,94,9,0,27,6,30,2,93,55,94,11,93,8
6/16/21 12:00,10000,94,9,0,27,6,30,2,93,55,94,11,93,8
6/16/21 13:00,10000,94,9,0,27,6,30,2,93,55,94,11,93,8
6/16/21 14:00,10000,89,10,0,42,6,30,1,93,59,89,19,93,1
6/16/21 15:00,10000,89,10,0,42,6,30,1,93,59,89,19,93,1
6/16/21 16:00,10000,89,10,0,42,6,30,1,93,59,89,19,93,1
6/16/21 17:00,10000,81,12,0,53,6,30,0,85,61,81,24,85,1
6/16/21 18:00,10000,81,12,0,53,6,30,0,85,61,81,24,85,1
6/16/21 19:00,10000,81,12,0,53,6,30,0,85,61,81,24,85,1
6/16/21 20:00,10000,77,11,0,59,6,30,0,79,61,77,24,79,1
6/16/21 21:00,10000,77,11,0,59,6,30,0,79,61,77,24,79,1
6/16/21 22:00,10000,77,11,0,59,6,30,0,79,61,77,24,79,1
6/16/21 23:00,10000,75,10,0,64,6,30,1,78,62,75,21,78,1
6/17/21 0:00,10000,75,10,0,64,6,30,1,78,62,75,21,78,1
6/17/21 1:00,10000,75,10,0,64,6,30,1,78,62,75,21,78,1
6/17/21 2:00,10000,83,11,0,49,6,30,2,85,61,83,16,85,7
6/17/21 3:00,10000,83,11,0,49,6,30,2,85,61,83,16,85,7
6/17/21 4:00,10000,83,11,0,49,6,30,2,85,61,83,16,85,7
6/17/21 5:00,10000,93,6,0,32,6,30,3,93,58,93,7,93,8
6/17/21 6:00,10000,93,6,0,32,6,30,3,93,58,93,7,93,8
6/17/21 7:00,10000,93,6,0,32,6,30,3,93,58,93,7,93,8
6/17/21 8:00,10000,98,6,0,24,6,30,2,98,55,98,6,98,9
6/17/21 9:00,10000,98,6,0,24,6,30,2,98,55,98,6,98,9
6/17/21 10:00,10000,98,6,0,24,6,30,2,98,55,98,6,98,9
6/17/21 11:00,10000,98,9,0,24,6,30,2,97,55,98,12,97,9
6/17/21 12:00,10000,98,9,0,24,6,30,2,97,55,98,12,97,9
6/17/21 13:00,10000,98,9,0,24,6,30,2,97,55,98,12,97,9
6/17/21 14:00,10000,93,14,0,36,6,30,3,96,58,93,24,96,1
6/17/21 15:00,10000,93,14,0,36,6,30,3,96,58,93,24,96,1
6/17/21 16:00,10000,93,14,0,36,6,30,3,96,58,93,24,96,1
6/17/21 17:00,10000,85,17,0,50,6,30,6,87,62,85,30,87,1
6/17/21 18:00,10000,85,17,0,50,6,30,6,87,62,85,30,87,1
6/17/21 19:00,10000,85,17,0,50,6,30,6,87,62,85,30,87,1
6/17/21 20:00,10000,79,18,0,63,6,30,9,81,65,79,29,81,1
6/17/21 21:00,10000,79,18,0,63,6,30,9,81,65,79,29,81,1
6/17/21 22:00,10000,79,18,0,63,6,30,9,81,65,79,29,81,1
6/17/21 23:00,10000,78,16,0,65,6,30,28,80,65,78,26,80,1
6/18/21 0:00,10000,78,16,0,65,6,30,28,80,65,78,26,80,1
6/18/21 1:00,10000,78,16,0,65,6,30,28,80,65,78,26,80,1
6/18/21 2:00,10000,84,16,0,50,6,30,22,86,63,84,21,86,7
6/18/21 3:00,10000,84,16,0,50,6,30,22,86,63,84,21,86,7
6/18/21 4:00,10000,84,16,0,50,6,30,22,86,63,84,21,86,7
6/18/21 5:00,10000,94,14,0,34,6,30,7,95,60,94,16,95,8
6/18/21 6:00,10000,94,14,0,34,6,30,7,95,60,94,16,95,8
6/18/21 7:00,10000,94,14,0,34,6,30,7,95,60,94,16,95,8
6/18/21 8:00,10000,100,11,0,26,6,30,4,101,59,100,13,101,9
6/18/21 9:00,10000,100,11,0,26,6,30,4,101,59,100,13,101,9
6/18/21 10:00,10000,100,11,0,26,6,30,4,101,59,100,13,101,9
6/18/21 11:00,10000,97,17,0,33,6,30,10,99,62,97,21,99,9
6/18/21 12:00,10000,97,17,0,33,6,30,10,99,62,97,21,99,9
6/18/21 13:00,10000,97,17,0,33,6,30,10,99,62,97,21,99,9
6/18/21 14:00,10000,92,20,0,53,6,30,16,96,66,92,28,96,1
6/18/21 15:00,10000,92,20,0,53,6,30,16,96,66,92,28,96,1
6/18/21 16:00,10000,92,20,0,53,6,30,16,96,66,92,28,96,1
6/18/21 17:00,10000,81,15,0,64,6,30,18,84,65,81,23,84,1
6/18/21 18:00,10000,81,15,0,64,6,30,18,84,65,81,23,84,1
6/18/21 19:00,10000,81,15,0,64,6,30,18,84,65,81,23,84,1
6/18/21 20:00,10000,74,6,0,71,6,30,12,78,64,74,10,78,1
6/18/21 21:00,10000,74,6,0,71,6,30,12,78,64,74,10,78,1
6/18/21 22:00,10000,74,6,0,71,6,30,12,78,64,74,10,78,1
6/18/21 23:00,10000,73,5,0,74,6,31,13,77,64,73,8,77,1
6/19/21 0:00,10000,73,5,0,74,6,31,13,77,64,73,8,77,1
6/19/21 1:00,10000,73,5,0,74,6,31,13,77,64,73,8,77,1
6/19/21 2:00,10000,78,7,0,63,6,31,14,81,64,78,9,81,7
6/19/21 3:00,10000,78,7,0,63,6,31,14,81,64,78,9,81,7
6/19/21 4:00,10000,78,7,0,63,6,31,14,81,64,78,9,81,7
6/19/21 5:00,10000,86,13,0,50,6,30,9,88,65,86,15,88,7
6/19/21 6:00,10000,86,13,0,50,6,30,9,88,65,86,15,88,7
6/19/21 7:00,10000,86,13,0,50,6,30,9,88,65,86,15,88,7
6/19/21 8:00,10000,88,11,0.3,50,5,30,54,91,66,88,13,91,8
6/19/21 9:00,10000,88,11,0.3,50,5,30,54,91,66,88,13,91,8
6/19/21 10:00,10000,88,11,0.3,50,5,30,54,91,66,88,13,91,8
6/19/21 11:00,10000,85,12,0.2,55,6,30,56,89,67,85,15,89,6
6/19/21 12:00,10000,85,12,0.2,55,6,30,56,89,67,85,15,89,6
6/19/21 13:00,10000,85,12,0.2,55,6,30,56,89,67,85,15,89,6
6/19/21 14:00,10000,81,13,0,65,6,30,22,84,67,81,20,84,1
6/19/21 15:00,10000,81,13,0,65,6,30,22,84,67,81,20,84,1
6/19/21 16:00,10000,81,13,0,65,6,30,22,84,67,81,20,84,1
6/19/21 17:00,10000,77,11,0,72,6,30,10,80,67,77,19,80,1
6/19/21 18:00,10000,77,11,0,72,6,30,10,80,67,77,19,80,1
6/19/21 19:00,10000,77,11,0,72,6,30,10,80,67,77,19,80,1
6/19/21 20:00,10000,74,8,0,78,6,30,19,78,67,74,14,78,1
6/19/21 21:00,10000,74,8,0,78,6,30,19,78,67,74,14,78,1
6/19/21 22:00,10000,74,8,0,78,6,30,19,78,67,74,14,78,1